dataelement,period,orgunit,categoryoptioncombo,attributeoptioncombo,value,storedby,lastupdated,comment,followup,deleted
F.2 Facilities available_Computers (How many useable/unseable computer does the have?),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),BDXPvhUlGvb,HllvX50cXC0,25,7120450,2026-02-08T02:12:01.994+0000,,FALSE,null
F.2 Facilities available_Library (How many useable/unseable libary does the have?),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),EzufRF9ikJP,HllvX50cXC0,1,7120450,2026-02-08T02:12:56.661+0000,,FALSE,null
F.2 Facilities available_Classrooms (How many useable/unseable classroom does the have?),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),BDXPvhUlGvb,HllvX50cXC0,6,7120450,2026-02-08T02:12:41.644+0000,,FALSE,null
F.2 Facilities available_Play Ground(s) (How many useable/unseable play ground does the have?),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),BDXPvhUlGvb,HllvX50cXC0,3,7120450,2026-02-08T02:12:57.993+0000,,FALSE,null
Attestation by Supervisor (Telephone),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,8064713014,7120450,2026-02-10T15:13:14.224+0000,,FALSE,null
F.6 Health facility,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,First Aid Kit,7120450,2026-02-08T02:18:06.033+0000,,FALSE,null
Attestation by Supervisor (Date),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,13/02/2024,7120450,2026-02-10T15:13:26.648+0000,,FALSE,null
F.3 Shared Facilities_Classrooms,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,TRUE,7120450,2026-02-08T02:14:17.735+0000,,FALSE,null
F.2 Facilities available_Toilets (How many useable/unseable Toilets does the have?),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),EzufRF9ikJP,HllvX50cXC0,2,7120450,2026-02-10T15:08:29.532+0000,,FALSE,null
F.2 Facilities available_Toilets (How many useable/unseable Toilets does the have?),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),BDXPvhUlGvb,HllvX50cXC0,2,7120450,2026-02-08T02:11:53.374+0000,,FALSE,null
A.7 School Telephone,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,8079560563,7120450,2025-10-29T11:29:12.372+0000,,FALSE,null
F.3 Shared Facilities_Toilets,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,TRUE,7120450,2026-02-08T02:13:24.447+0000,,FALSE,null
F.3 Shared Facilities_Water Source(s),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,TRUE,7120450,2026-02-08T02:14:03.347+0000,,FALSE,null
F.3 Shared Facilities_Library,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,TRUE,7120450,2026-02-08T02:14:24.732+0000,,FALSE,null
Attestation by Supervisor (Position),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,Zone A Focal person (PEO),7120450,2026-02-10T15:13:05.040+0000,,FALSE,null
F.5 Sources of power,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,PHCN/NEPA,7120450,2026-02-08T02:17:40.009+0000,,FALSE,null
F.2 Facilities available_Water Source(s) (How many useable/unseable water source does the have?),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),BDXPvhUlGvb,HllvX50cXC0,2,7120450,2026-02-08T02:12:26.106+0000,,FALSE,null
F.7 Fence/wall: Does the school have a fence or wall around it?,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,4,7120450,2026-02-08T02:18:15.222+0000,,FALSE,null
E.4 Number of rooms other than classrooms in the centre by type Store room,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,1,7120450,2026-02-08T02:09:11.086+0000,,FALSE,null
E.4 Number of rooms other than classrooms in the centre by type Laboratories,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,1,7120450,2026-02-08T02:09:09.131+0000,,FALSE,null
E.4 Number of rooms other than classrooms in the centre by type Staff rooms,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,2,7120450,2026-02-08T02:08:49.813+0000,,FALSE,null
F.2 Facilities available_Wash hand facility (How many useable/unseable wash hand does the have?),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),BDXPvhUlGvb,HllvX50cXC0,2,7120450,2026-02-08T02:13:00.953+0000,,FALSE,null
F.4 Number of useable toilets units by type_Pit,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),P5B4nZmj2I6,HllvX50cXC0,1,7120450,2026-02-10T15:08:34.413+0000,,FALSE,null
F.4 Number of useable toilets units by type_Pit,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),ArPvSTrhYRf,HllvX50cXC0,1,7120450,2026-02-10T15:08:39.546+0000,,FALSE,null
F.4 Number of useable toilets units by type_Pit,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),yfBUnhh4KBo,HllvX50cXC0,1,7120450,2026-02-10T15:09:47.071+0000,,FALSE,null
F.4 Number of useable toilets units by type_Pit,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),XL0Hw5OEwA7,HllvX50cXC0,1,7120450,2026-02-10T15:09:50.101+0000,,FALSE,null
B.3a SSS_Levels of education offered,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,Junior and Senior Secondary,7120450,2026-02-08T01:31:41.111+0000,,FALSE,null
B.4 JSS-Type of school,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,Regular,7120450,2026-02-08T01:31:51.905+0000,,FALSE,null
G.1 Number of students by subject (Civic Education),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),bWARvKXLx4J,HllvX50cXC0,23,7120450,2026-02-08T02:21:58.911+0000,,FALSE,null
G.1 Number of students by subject (Civic Education),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),KLukqORbIU5,HllvX50cXC0,19,7120450,2026-02-08T02:22:04.754+0000,,FALSE,null
G.1 Number of students by subject (Civic Education),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),xNrNoKd4AUw,HllvX50cXC0,22,7120450,2026-02-08T02:22:10.586+0000,,FALSE,null
G.1 Number of students by subject (Civic Education),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),uznb34kXUt9,HllvX50cXC0,9,7120450,2026-02-08T02:22:14.805+0000,,FALSE,null
I. Teachers Qualification (B.Ed),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),UJjmPT4aQB6,HllvX50cXC0,3,7120450,2026-02-10T14:54:15.118+0000,,FALSE,null
Attestation by Principal (Date),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,02/02/2024,7120450,2026-02-10T15:12:20.723+0000,,FALSE,null
B.19 Security Guard: Does the school have a security guard?,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,TRUE,7120450,2026-02-08T01:43:28.647+0000,,FALSE,null
C.4 Student Flow Transfer Out,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),Mr0ygjfbkN0,HllvX50cXC0,7,7120450,2026-02-08T01:55:07.193+0000,,FALSE,null
C.4 Student Flow Transfer Out,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),fvipxN7FNXz,HllvX50cXC0,3,7120450,2026-02-08T01:55:36.420+0000,,FALSE,null
C.4 Student Flow Transfer Out,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),oC1C1xp31HF,HllvX50cXC0,8,7120450,2026-02-08T01:55:38.277+0000,,FALSE,null
C.4 Student Flow Transfer Out,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),wSh06h00KU2,HllvX50cXC0,3,7120450,2026-02-08T01:55:55.283+0000,,FALSE,null
G.1 Number of students by subject (Agriculture),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),bWARvKXLx4J,HllvX50cXC0,12,7120450,2026-02-08T02:22:19.987+0000,,FALSE,null
G.1 Number of students by subject (Agriculture),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),KLukqORbIU5,HllvX50cXC0,11,7120450,2026-02-08T02:22:22.010+0000,,FALSE,null
G.1 Number of students by subject (Agriculture),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),xNrNoKd4AUw,HllvX50cXC0,8,7120450,2026-02-08T02:22:28.098+0000,,FALSE,null
G.1 Number of students by subject (Agriculture),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),uznb34kXUt9,HllvX50cXC0,10,7120450,2026-02-08T02:22:49.629+0000,,FALSE,null
D.2 How many teachers are working at the school regardless of whether they are currently present or on course or absent,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),GF8jMjRjocB,HllvX50cXC0,3,7120450,2026-03-15T14:37:57.000+0000,,FALSE,null
B.15b Number of inspection Visit in last academic Year,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,9,7120450,2026-02-08T01:41:02.434+0000,,FALSE,null
E.1 How many classrooms are there in the school?,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,6,7120450,2026-02-10T15:11:33.051+0000,,FALSE,null
"B.14 Parent-Teacher Association (PTA)/ Parents' Forum(PF)/Mother's Association
Does the school have PTA / PF / MA, which met at least once last year?",2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,TRUE,7120450,2026-02-08T01:39:02.190+0000,,FALSE,null
I. Teachers Qualification (NCE),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),UJjmPT4aQB6,HllvX50cXC0,2,7120450,2026-02-10T14:54:21.946+0000,,FALSE,null
I. Teachers Qualification (PGDE),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),UJjmPT4aQB6,HllvX50cXC0,1,7120450,2026-02-08T02:27:41.263+0000,,FALSE,null
B.16a Authority of Last Inspection: Which authority conducted the last inspection visit?,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,State,7120450,2026-02-08T01:41:07.284+0000,,FALSE,null
I. Teachers Qualification (M.Ed),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),UJjmPT4aQB6,HllvX50cXC0,1,7120450,2026-02-08T02:27:54.564+0000,,FALSE,null
Attestation by Principal (Name),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,Kpamdue Kelvin Kershima,7120450,2026-02-08T02:40:48.214+0000,,FALSE,null
B.20a Ownership Which of the following owns the school?,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,Community,7120450,2026-02-08T01:44:01.857+0000,,FALSE,null
C.4 Student Flow Promoted,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),syHnLExmGPa,HllvX50cXC0,15,7120450,2026-02-08T01:55:58.631+0000,,FALSE,null
C.4 Student Flow Promoted,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),r6h8uy5nlkN,HllvX50cXC0,10,7120450,2026-02-08T01:56:02.379+0000,,FALSE,null
C.4 Student Flow Promoted,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),oC1C1xp31HF,HllvX50cXC0,27,7120450,2026-02-08T01:56:10.756+0000,,FALSE,null
C.4 Student Flow Promoted,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),wSh06h00KU2,HllvX50cXC0,20,7120450,2026-02-08T01:57:11.861+0000,,FALSE,null
B.17 Conditional Cash Transfer: How many pupils benefitted from Conditional Cash Transfer?,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,0,7120450,2026-02-08T01:42:24.911+0000,,FALSE,null
"B.9 School Distance from LGA
How many kilometres is the school away from LGA HQ?",2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,28,7120450,2026-02-08T01:37:46.843+0000,,FALSE,null
B.7 Multi-grade teaching: Does any teacher teach more than one class at the same time?,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,FALSE,7120450,2026-02-08T01:33:29.894+0000,,FALSE,null
B.18 School Grants: Has your school ever received grants in the last academic year?,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,FALSE,7120450,2026-02-08T01:42:24.911+0000,,FALSE,null
C.6a How many students were registered for SSCE?,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),iO13KEYw1TV,HllvX50cXC0,27,7120450,2026-02-08T01:57:41.116+0000,,FALSE,null
C.6a How many students were registered for SSCE?,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),NbMlFDgUQct,HllvX50cXC0,20,7120450,2026-02-08T01:57:53.382+0000,,FALSE,null
"B.8 School: Average Distance from Catchment Communities
What is average distance of school from its catchment areas",2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,1,7120450,2026-02-08T01:35:23.215+0000,,FALSE,null
B.5 Shifts Does the School operate shift system?,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,FALSE,7120450,2026-02-08T01:32:22.206+0000,,FALSE,null
B.6a Shared Facilities: Does the school share facilities/Teachers/premises with any other school?,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,FALSE,7120450,2026-02-08T01:32:26.758+0000,,FALSE,null
"B.12 School Development Plan (SDP),Did the school prepare SDP in the last school year?",2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,FALSE,7120450,2026-02-08T01:38:32.835+0000,,FALSE,null
H1. Number of students core subject textbooks (English),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),bbt6ww3563u,HllvX50cXC0,3,7120450,2026-02-08T02:24:43.213+0000,,FALSE,null
H1. Number of students core subject textbooks (English),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),zIQzw27dEeB,HllvX50cXC0,3,7120450,2026-02-08T02:24:44.323+0000,,FALSE,null
H1. Number of students core subject textbooks (English),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),G0Nki9tsoJ5,HllvX50cXC0,3,7120450,2026-02-08T02:24:46.393+0000,,FALSE,null
E.2 Are any classes held outside (because classrooms are unusable or insufficient)?,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,No,7120450,2026-02-11T02:21:32.576+0000,,FALSE,null
C.4 Student Flow Dropout,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),Mr0ygjfbkN0,HllvX50cXC0,14,7120450,2026-02-08T01:54:19.438+0000,,FALSE,null
C.4 Student Flow Dropout,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),fvipxN7FNXz,HllvX50cXC0,10,7120450,2026-02-08T01:54:40.643+0000,,FALSE,null
C.4 Student Flow Dropout,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),syHnLExmGPa,HllvX50cXC0,6,7120450,2026-02-08T01:54:42.271+0000,,FALSE,null
C.4 Student Flow Dropout,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),r6h8uy5nlkN,HllvX50cXC0,4,7120450,2026-02-08T01:54:48.574+0000,,FALSE,null
C.4 Student Flow Dropout,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),oC1C1xp31HF,HllvX50cXC0,5,7120450,2026-02-08T01:54:51.229+0000,,FALSE,null
C.4 Student Flow Dropout,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),wSh06h00KU2,HllvX50cXC0,2,7120450,2026-02-08T01:55:02.683+0000,,FALSE,null
G.1 Number of students by subject (English),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),bWARvKXLx4J,HllvX50cXC0,23,7120450,2026-02-08T02:20:28.414+0000,,FALSE,null
G.1 Number of students by subject (English),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),KLukqORbIU5,HllvX50cXC0,19,7120450,2026-02-08T02:20:38.143+0000,,FALSE,null
G.1 Number of students by subject (English),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),xNrNoKd4AUw,HllvX50cXC0,22,7120450,2026-02-08T02:20:40.375+0000,,FALSE,null
G.1 Number of students by subject (English),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),uznb34kXUt9,HllvX50cXC0,11,7120450,2026-02-08T02:20:46.484+0000,,FALSE,null
G.1 Number of students by subject (Mathematics),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),bWARvKXLx4J,HllvX50cXC0,23,7120450,2026-02-08T02:20:48.841+0000,,FALSE,null
G.1 Number of students by subject (Mathematics),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),KLukqORbIU5,HllvX50cXC0,19,7120450,2026-02-08T02:20:53.712+0000,,FALSE,null
G.1 Number of students by subject (Mathematics),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),xNrNoKd4AUw,HllvX50cXC0,22,7120450,2026-02-08T02:20:59.788+0000,,FALSE,null
G.1 Number of students by subject (Mathematics),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),uznb34kXUt9,HllvX50cXC0,11,7120450,2026-02-08T02:21:05.964+0000,,FALSE,null
B.15a Date of Last Inspection Visit: When was the school last inspected?,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,29/01/2026,7120450,2026-02-08T01:40:06.789+0000,,FALSE,null
"B.13 School Based Management Committee (SBMC), Does the school have SBMC, which met at least once last year?",2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,TRUE,7120450,2026-02-08T01:38:48.710+0000,,FALSE,null
C.12 Senior Secondary enrolment by age for the the current school year (16 Years),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),F9s6It0soo7,HllvX50cXC0,2,7120450,2026-02-08T01:51:46.932+0000,,FALSE,null
C.12 Senior Secondary enrolment by age for the the current school year (16 Years),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),t2wqSeyAPXN,HllvX50cXC0,8,7120450,2026-02-08T01:51:56.799+0000,,FALSE,null
C.12 Senior Secondary enrolment by age for the the current school year (16 Years),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),uOk36sCC8bi,HllvX50cXC0,1,7120450,2026-02-08T01:52:13.965+0000,,FALSE,null
C.11 New Entrants in SS 1 (15 Years),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),GAzYVtuFESW,HllvX50cXC0,2,7120450,2026-02-08T01:46:55.869+0000,,FALSE,null
C.11 New Entrants in SS 1 (15 Years),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),DvqvIXTQ3Ua,HllvX50cXC0,3,7120450,2026-02-08T01:47:06.361+0000,,FALSE,null
C.12 Senior Secondary enrolment by age for the the current school year (17 Years),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),t2wqSeyAPXN,HllvX50cXC0,3,7120450,2026-02-08T01:52:16.930+0000,,FALSE,null
C.12 Senior Secondary enrolment by age for the the current school year (17 Years),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),kppDzyLMsMt,HllvX50cXC0,2,7120450,2026-02-08T01:52:26.625+0000,,FALSE,null
C.12 Senior Secondary enrolment by age for the the current school year (17 Years),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),W4d1WVVJ797,HllvX50cXC0,7,7120450,2026-02-08T01:52:30.091+0000,,FALSE,null
C.12 Senior Secondary enrolment by age for the the current school year (17 Years),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),A8Zib4l6uax,HllvX50cXC0,6,7120450,2026-02-08T01:52:41.506+0000,,FALSE,null
C.11 New Entrants in SS 1 (16 Years),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),GAzYVtuFESW,HllvX50cXC0,2,7120450,2026-02-08T01:47:12.342+0000,,FALSE,null
C.11 New Entrants in SS 1 (16 Years),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),DvqvIXTQ3Ua,HllvX50cXC0,8,7120450,2026-02-08T01:49:13.002+0000,,FALSE,null
C.12 Senior Secondary enrolment by age for the the current school year (Below 15 Years),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),kppDzyLMsMt,HllvX50cXC0,1,7120450,2026-02-08T01:51:06.400+0000,,FALSE,null
C.11 New Entrants in SS 1 (Above 17 Years),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),GAzYVtuFESW,HllvX50cXC0,15,7120450,2026-02-08T01:47:47.685+0000,,FALSE,null
C.11 New Entrants in SS 1 (Above 17 Years),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),DvqvIXTQ3Ua,HllvX50cXC0,2,7120450,2026-02-08T01:47:51.310+0000,,FALSE,null
C.11 New Entrants in SS 1 (17 Years),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),DvqvIXTQ3Ua,HllvX50cXC0,3,7120450,2026-02-08T01:47:35.893+0000,,FALSE,null
C.12 Senior Secondary enrolment by age for the the current school year (15 Years),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),F9s6It0soo7,HllvX50cXC0,2,7120450,2026-02-08T01:51:12.727+0000,,FALSE,null
C.12 Senior Secondary enrolment by age for the the current school year (15 Years),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),t2wqSeyAPXN,HllvX50cXC0,3,7120450,2026-02-08T01:51:30.524+0000,,FALSE,null
C.12 Senior Secondary enrolment by age for the the current school year (15 Years),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),kppDzyLMsMt,HllvX50cXC0,12,7120450,2026-02-08T01:51:36.466+0000,,FALSE,null
C.12 Senior Secondary enrolment by age for the the current school year (15 Years),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),uOk36sCC8bi,HllvX50cXC0,9,7120450,2026-02-08T01:51:44.652+0000,,FALSE,null
C.3a Number of SSS streams,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),fjRJxxyIE7C,HllvX50cXC0,2,7120450,2026-02-08T01:49:55.020+0000,,FALSE,null
C.3a Number of SSS streams,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),xINZfKHNdAo,HllvX50cXC0,2,7120450,2026-02-08T01:49:57.012+0000,,FALSE,null
C.3a Number of SSS streams,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),RSvl6DboX9D,HllvX50cXC0,2,7120450,2026-02-08T01:49:59.343+0000,,FALSE,null
C.3 No. completed SSS 3 for previous year,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),W4d1WVVJ797,HllvX50cXC0,27,7120450,2026-02-08T01:53:54.547+0000,,FALSE,null
C.3 No. completed SSS 3 for previous year,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),A8Zib4l6uax,HllvX50cXC0,20,7120450,2026-02-08T01:54:14.447+0000,,FALSE,null
C.12 Senior Secondary enrolment by age for the the current school year (Above 17 Years),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),F9s6It0soo7,HllvX50cXC0,15,7120450,2026-02-08T01:52:47.254+0000,,FALSE,null
C.12 Senior Secondary enrolment by age for the the current school year (Above 17 Years),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),t2wqSeyAPXN,HllvX50cXC0,2,7120450,2026-02-08T01:52:58.425+0000,,FALSE,null
C.12 Senior Secondary enrolment by age for the the current school year (Above 17 Years),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),W4d1WVVJ797,HllvX50cXC0,7,7120450,2026-02-08T01:53:00.099+0000,,FALSE,null
C.12 Senior Secondary enrolment by age for the the current school year (Above 17 Years),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),A8Zib4l6uax,HllvX50cXC0,10,7120450,2026-02-08T01:53:51.963+0000,,FALSE,null
C.6b How many students took part in the SSCE?,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),iO13KEYw1TV,HllvX50cXC0,27,7120450,2026-02-08T01:58:21.302+0000,,FALSE,null
C.6b How many students took part in the SSCE?,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),NbMlFDgUQct,HllvX50cXC0,20,7120450,2026-02-08T01:58:24.313+0000,,FALSE,null
C.6c How many students passed (5 credits including English and Mathematics) in SSCE Exams,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),iO13KEYw1TV,HllvX50cXC0,18,7120450,2026-02-08T01:58:35.291+0000,,FALSE,null
C.6c How many students passed (5 credits including English and Mathematics) in SSCE Exams,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),NbMlFDgUQct,HllvX50cXC0,19,7120450,2026-02-08T01:58:38.332+0000,,FALSE,null
G.1 SSS Number of students by subject (Literature in English),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),bWARvKXLx4J,HllvX50cXC0,10,7120450,2026-02-08T02:19:58.463+0000,,FALSE,null
G.1 SSS Number of students by subject (Literature in English),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),KLukqORbIU5,HllvX50cXC0,5,7120450,2026-02-08T02:20:14.468+0000,,FALSE,null
